countryiso3code,country,date,gini,subsequent_growth
CHL,Chile,2015,45.3,-1.0970355363549662
CHL,Chile,2013,46.8,0.8682623700725431
CHL,Chile,2011,46.9,1.9792033873281845
CHN,China,2018,38.5,4.986866285266276
CHN,China,2017,39.1,5.133710123860548
CHN,China,2016,38.5,5.753484897087224
CHN,China,2015,38.6,5.291493894049478
CHN,China,2014,39.2,6.144532412226434
CHN,China,2013,39.7,6.363332866237917
CHN,China,2012,42.2,6.523980201669862
CHN,China,2011,42.4,6.700461865359455
CHN,China,2010,43.7,7.240851716867688
COL,Colombia,2018,51.6,1.6698380253691845
COL,Colombia,2017,50.9,1.865337734363171
COL,Colombia,2016,51.7,0.6075335161248361
COL,Colombia,2015,52.0,-1.094832289227988
COL,Colombia,2014,53.6,1.0209131202415838
COL,Colombia,2013,53.5,1.4629463151145459
COL,Colombia,2012,53.6,2.1521521013550555
COL,Colombia,2011,53.3,2.7475356672634703
COL,Colombia,2010,54.4,3.6929528225665975
COM,Comoros,2014,45.3,0.6969984361056184
COD,"Congo, Dem. Rep.",2012,42.1,3.522923917080745
COG,"Congo, Rep.",2011,48.9,-0.9867375923661618
CRI,Costa Rica,2018,48.0,2.805968282539898
CRI,Costa Rica,2017,48.3,2.330479669637438
CRI,Costa Rica,2016,48.7,1.964371774426258
CRI,Costa Rica,2015,48.4,1.061742495915144
CRI,Costa Rica,2014,48.6,2.533789407744848
CRI,Costa Rica,2013,49.2,2.6506368965969562
CRI,Costa Rica,2012,48.4,2.5372927033257198
CRI,Costa Rica,2011,48.8,2.6347424706588796
CRI,Costa Rica,2010,48.0,2.6401469171356515
CIV,Cote d'Ivoire,2018,37.2,2.862522932131122
CIV,Cote d'Ivoire,2015,41.5,2.545956276491072
HRV,Croatia,2018,29.7,4.379206978993307
HRV,Croatia,2017,30.4,4.50234477879242
HRV,Croatia,2016,30.9,3.904883162490782
HRV,Croatia,2015,31.1,2.09331938081473
HRV,Croatia,2014,32.1,4.300518180619198
HRV,Croatia,2013,32.0,3.515484051240056
HRV,Croatia,2012,32.5,2.759933397447095
HRV,Croatia,2011,32.3,1.4140855716474967
HRV,Croatia,2010,32.4,0.5416233803008117
CYP,Cyprus,2018,32.7,3.615346583426002
CYP,Cyprus,2017,31.4,4.297479752459684
CYP,Cyprus,2016,32.9,3.9210407274697063
CYP,Cyprus,2015,34.0,3.1754098272113502
CYP,Cyprus,2014,35.6,4.717241550902062
CYP,Cyprus,2013,37.0,3.5258210371802385
CYP,Cyprus,2012,34.3,1.219546841347602
CYP,Cyprus,2011,32.6,-0.7326120342142618
CYP,Cyprus,2010,31.5,-2.358870972459236
CZE,Czechia,2018,25.0,0.615826811362196
CZE,Czechia,2017,24.9,1.45719609045398
CZE,Czechia,2016,25.4,2.1872871830973977
CZE,Czechia,2015,25.9,1.47788409613098
CZE,Czechia,2014,25.9,3.535392848643338
CZE,Czechia,2013,26.5,3.331168753577166
CZE,Czechia,2012,26.1,2.8187786145177696
CZE,Czechia,2011,26.4,1.6579848979649079
CZE,Czechia,2010,26.6,1.4936112852831398
DNK,Denmark,2018,28.2,0.9677877832481183
DNK,Denmark,2017,28.7,1.2666914425677667
DNK,Denmark,2016,28.2,1.814621300617366
DNK,Denmark,2015,28.2,1.061048449489044
DNK,Denmark,2014,28.4,1.7514093892331442
DNK,Denmark,2013,28.5,1.635004129576652
DNK,Denmark,2012,27.8,1.5579341111151201
DNK,Denmark,2011,27.3,1.002620555830743
DNK,Denmark,2010,27.2,0.7271655331101419
DJI,Djibouti,2017,41.6,2.6656070198572723
DJI,Djibouti,2013,44.1,4.584038916289893
DOM,Dominican Republic,2018,43.7,2.6563005744120223
DOM,Dominican Republic,2017,42.2,3.58979933383781
DOM,Dominican Republic,2016,45.7,3.305084783854624
DOM,Dominican Republic,2015,45.2,1.8467851329749798
DOM,Dominican Republic,2014,44.3,4.776624558307864
DOM,Dominican Republic,2013,47.7,5.183000585088833
DOM,Dominican Republic,2012,46.1,4.725218975856469
DOM,Dominican Republic,2011,47.7,4.46377528141554
DOM,Dominican Republic,2010,47.3,3.733769828949402
ECU,Ecuador,2018,45.4,0.5462168418200385
ECU,Ecuador,2017,44.7,0.22165339729857364
ECU,Ecuador,2016,45.0,0.08838513815246385
ECU,Ecuador,2015,46.0,-2.0522957146252963
ECU,Ecuador,2014,45.0,-0.25067890132772636
ECU,Ecuador,2013,46.9,0.6006520212326256
ECU,Ecuador,2012,46.1,1.8591249602493298
ECU,Ecuador,2011,45.9,1.809201624458852
ECU,Ecuador,2010,48.8,3.5773532509709702
EGY,"Egypt, Arab Rep.",2017,31.5,3.145278334009542
EGY,"Egypt, Arab Rep.",2015,31.8,2.662751341179552
EGY,"Egypt, Arab Rep.",2012,28.3,1.4051223584048393
EGY,"Egypt, Arab Rep.",2010,30.2,0.45257399534265
SLV,El Salvador,2018,38.6,2.255017181744042
SLV,El Salvador,2017,38.0,2.14183401209864
SLV,El Salvador,2016,40.0,2.0389791425771358
SLV,El Salvador,2015,40.6,0.18472579533050187
SLV,El Salvador,2014,41.6,2.2112241603673075
SLV,El Salvador,2013,43.4,1.9941403610392783
SLV,El Salvador,2012,41.8,1.896620821950426
SLV,El Salvador,2011,42.3,1.9733142540100563
SLV,El Salvador,2010,43.5,2.2089293651769983
EST,Estonia,2018,30.3,0.3205566932242262
EST,Estonia,2017,30.4,1.8417075262578364
EST,Estonia,2016,31.2,3.4505889153839546
EST,Estonia,2015,32.7,2.435152224064646
EST,Estonia,2014,34.6,3.4045316435129798
EST,Estonia,2013,35.1,3.4549621016176437
EST,Estonia,2012,32.9,3.2109366288794794
EST,Estonia,2011,32.5,2.9183195382085
EST,Estonia,2010,32.0,3.892546807460576
SWZ,Eswatini,2016,54.6,1.275242666912924
ETH,Ethiopia,2015,35.0,5.162473639562808
ETH,Ethiopia,2010,33.2,7.225694086875147
FJI,Fiji,2013,36.7,4.3242132502830355
FIN,Finland,2018,27.3,-0.044202719802621845
FIN,Finland,2017,27.4,0.5238181336842542
FIN,Finland,2016,27.1,1.038185554548898
FIN,Finland,2015,27.1,1.0009482007884578
FIN,Finland,2014,26.8,1.5543734500545079
FIN,Finland,2013,27.2,1.1289889287004786
FIN,Finland,2012,27.1,0.6302399820172925
FIN,Finland,2011,27.6,-0.38006452257484524
FIN,Finland,2010,27.7,-0.4522025922348293
FRA,France,2018,32.4,0.7624655611623998
FRA,France,2017,31.6,0.786789549668628
FRA,France,2016,31.9,0.7039309314095581
FRA,France,2015,32.7,-0.47753075762700953
FRA,France,2014,32.3,1.2121888629531161
FRA,France,2013,32.5,0.9783239276590457
FRA,France,2012,33.1,0.7743196302021118
FRA,France,2011,33.3,0.356840785579189
FRA,France,2010,33.7,0.6268590459503746
GAB,Gabon,2017,38.0,-0.9116926815213562
GMB,"Gambia, The",2015,35.9,1.6320475453862122
GMB,"Gambia, The",2010,43.6,-2.3217263722192856
GEO,Georgia,2018,36.4,5.771971367221294
GEO,Georgia,2017,37.9,5.44352375394088
GEO,Georgia,2016,36.6,4.304247347990192
GEO,Georgia,2015,36.5,2.768902403267062
GEO,Georgia,2014,37.6,4.677538423405884
GEO,Georgia,2013,38.6,4.373529596288596
GEO,Georgia,2012,39.0,4.242796637210712
GEO,Georgia,2011,39.6,4.686981713013138
GEO,Georgia,2010,39.5,5.770036831053088
DEU,Germany,2018,31.9,0.2475557245118869
DEU,Germany,2017,31.3,0.6139840877051914
DEU,Germany,2016,31.3,0.7305497461566894
DEU,Germany,2015,31.4,0.2374216855391075
DEU,Germany,2014,30.8,1.2368027581068968
DEU,Germany,2013,31.4,1.437770794082299
DEU,Germany,2012,30.9,1.2960053843493613
DEU,Germany,2011,30.4,0.8681350479146213
DEU,Germany,2010,30.2,1.7279142907954632
GHA,Ghana,2016,43.5,3.152045052002412
GHA,Ghana,2012,42.4,2.3659743168624616
GRC,Greece,2018,32.9,2.5306822983299426
GRC,Greece,2017,34.4,2.4981162593480457
GRC,Greece,2016,35.0,1.46097268463601
GRC,Greece,2015,36.0,-0.4570731275972125
GRC,Greece,2014,35.8,1.429404898215847
GRC,Greece,2013,36.1,1.245581092501401
GRC,Greece,2012,36.3,0.4790115686918489
GRC,Greece,2011,34.8,-1.4226103477403291
GRC,Greece,2010,34.1,-3.4482490426108208
GRD,Grenada,2018,43.8,0.45359552951323884
GTM,Guatemala,2014,48.3,1.6747584566341818
GIN,Guinea,2018,29.6,2.476130163499336
GIN,Guinea,2012,33.7,3.8700456274590933
GNB,Guinea-Bissau,2018,34.8,2.3144825970732135
GNB,Guinea-Bissau,2010,50.6,0.6636771220204587
HTI,Haiti,2012,41.1,1.1273458589795358
HND,Honduras,2018,48.9,1.0201354464763939
HND,Honduras,2017,49.4,1.0495497261478897
HND,Honduras,2016,49.8,1.151395180696758
HND,Honduras,2015,49.2,-0.5971007558181542
HND,Honduras,2014,49.9,1.8889871856247482
HND,Honduras,2013,50.0,1.961369904959358
HND,Honduras,2012,53.4,1.724409603312791
HND,Honduras,2011,52.6,1.5489602805731812
HND,Honduras,2010,53.1,1.4991865336038148
HUN,Hungary,2017,30.6,3.80564465640022
HUN,Hungary,2016,30.3,3.8145775615279702
HUN,Hungary,2015,30.4,2.849569290400192
HUN,Hungary,2014,30.9,4.4756525143269865
HUN,Hungary,2013,31.5,4.38501002713676
HUN,Hungary,2012,30.8,3.725595914069872
HUN,Hungary,2011,29.2,2.6643794744753544
HUN,Hungary,2010,29.4,2.5380634638448702
ISL,Iceland,2018,26.6,0.8901025701087579
ISL,Iceland,2017,26.1,0.46200629214892996
ISL,Iceland,2016,27.2,-0.5517927177214641
ISL,Iceland,2015,26.8,-0.2950938255730501
ISL,Iceland,2014,27.8,1.8732786223477802
ISL,Iceland,2013,25.4,2.242834337489936
ISL,Iceland,2012,26.8,2.3881666221691003
ISL,Iceland,2011,26.8,2.2974532863753487
ISL,Iceland,2010,26.2,1.5608344155643665
IND,India,2011,28.8,5.749712465736934
IDN,Indonesia,2018,36.3,2.5627294626376482
IDN,Indonesia,2017,36.4,2.561121593919208
IDN,Indonesia,2016,36.9,2.456446171041302
IDN,Indonesia,2015,38.2,2.6436023375766977
IDN,Indonesia,2014,38.8,3.963616003331564
IDN,Indonesia,2013,38.9,3.9112923572757206
IDN,Indonesia,2012,37.1,3.930640175909841
IDN,Indonesia,2011,37.9,4.065501193947346
IDN,Indonesia,2010,34.6,4.247981195981708
IRN,"Iran, Islamic Rep.",2018,37.4,2.1362339077659582
IRN,"Iran, Islamic Rep.",2017,36.7,0.32837668137774845
IRN,"Iran, Islamic Rep.",2016,35.9,0.01801425617221808
IRN,"Iran, Islamic Rep.",2015,35.3,0.8174623619174302
IRN,"Iran, Islamic Rep.",2014,34.8,-0.46253063790596005
IRN,"Iran, Islamic Rep.",2013,34.0,0.9360201639031359
IRN,"Iran, Islamic Rep.",2012,34.4,1.3694197066667158
IRN,"Iran, Islamic Rep.",2011,34.7,0.06955961179605782
IRQ,Iraq,2012,29.5,1.6679438498864205
IRL,Ireland,2018,30.6,4.965586801205193
IRL,Ireland,2017,31.4,7.062474987807437
IRL,Ireland,2016,32.8,7.708537488099583
IRL,Ireland,2015,31.8,4.765445757069368
IRL,Ireland,2014,31.9,8.294247277963091
IRL,Ireland,2013,33.5,9.348386542430612
IRL,Ireland,2012,33.2,8.452247725220912
IRL,Ireland,2011,32.9,6.560495878593933
IRL,Ireland,2010,32.3,6.807590343825247
ISR,Israel,2018,38.6,1.7896872886465278
ISR,Israel,2017,38.2,2.394884460246274
ISR,Israel,2016,39.0,2.0043833074974744
ISR,Israel,2015,39.7,1.0033626427402118
ISR,Israel,2014,39.8,1.7531877703703274
ISR,Israel,2013,39.9,1.7783435892811053
ISR,Israel,2012,41.3,1.7979039546238873
ISR,Israel,2011,41.5,1.4371348576761158
ISR,Israel,2010,42.6,1.652065477724872
ITA,Italy,2018,35.2,1.5511602136488931
ITA,Italy,2017,35.9,1.563959722211251
ITA,Italy,2016,35.2,0.9162700847494151
ITA,Italy,2015,35.4,-0.6967932258637349
ITA,Italy,2014,34.7,1.195507785526475
ITA,Italy,2013,34.9,1.0565657211460877
ITA,Italy,2012,35.2,0.44633462824648584
ITA,Italy,2011,35.1,-0.5906332109957564
ITA,Italy,2010,34.7,-0.8069038957145847
JAM,Jamaica,2018,35.3,1.5404610737785818
JPN,Japan,2018,32.9,0.5734553963529996
JPN,Japan,2017,31.8,0.5233146630666872
JPN,Japan,2016,31.8,0.5081703812560212
JPN,Japan,2015,30.7,-0.14885779978800145
JPN,Japan,2014,31.3,1.0330104577279267
JPN,Japan,2013,31.5,1.274663969925601
JPN,Japan,2012,32.5,1.5111385004351494
JPN,Japan,2011,33.0,1.5320825528334634
JPN,Japan,2010,31.5,1.3777167991894455
JOR,Jordan,2010,33.7,-2.554611217079613
KAZ,Kazakhstan,2018,27.8,1.464405288742126
KAZ,Kazakhstan,2017,27.5,1.2611412049467021
KAZ,Kazakhstan,2016,27.2,1.4190945005082498
KAZ,Kazakhstan,2015,26.8,0.7476871200383364
KAZ,Kazakhstan,2014,27.0,1.4606806025465346
KAZ,Kazakhstan,2013,27.1,1.3979971028495246
KAZ,Kazakhstan,2012,28.2,1.7844230794236302
KAZ,Kazakhstan,2011,28.0,1.9554712548663287
KAZ,Kazakhstan,2010,28.0,3.234679442047728
KEN,Kenya,2015,40.8,1.585294717395266
KOR,"Korea, Rep.",2018,33.7,2.0587766258405726
KOR,"Korea, Rep.",2017,34.9,2.3038674864434348
KOR,"Korea, Rep.",2016,35.2,2.348395455525589
KOR,"Korea, Rep.",2014,31.2,2.594642474720636
KOR,"Korea, Rep.",2012,31.6,2.73511050305951
KOR,"Korea, Rep.",2010,32.0,2.53467949552455
XKX,Kosovo,2018,44.6,5.103621563204383
XKX,Kosovo,2017,44.2,3.844912379942054
XKX,Kosovo,2016,26.7,3.584770616194876
XKX,Kosovo,2015,26.5,2.62666590685591
XKX,Kosovo,2014,27.3,5.181676499381532
XKX,Kosovo,2013,26.3,4.864883201304542
XKX,Kosovo,2012,29.0,5.194151506855496
XKX,Kosovo,2011,27.8,4.558068626107584
XKX,Kosovo,2010,33.3,4.542463731605388
KGZ,Kyrgyz Republic,2018,27.7,2.193803228508034
KGZ,Kyrgyz Republic,2017,27.3,1.0827381157771097
KGZ,Kyrgyz Republic,2016,26.8,0.18832804495737787
KGZ,Kyrgyz Republic,2015,29.0,-0.1192556418169981
KGZ,Kyrgyz Republic,2014,26.8,2.000675001650592
KGZ,Kyrgyz Republic,2013,28.8,1.895872069899864
KGZ,Kyrgyz Republic,2012,27.4,3.2895333193731204
KGZ,Kyrgyz Republic,2011,27.8,2.3872814183755002
KGZ,Kyrgyz Republic,2010,30.1,2.86472180910879
LAO,Lao PDR,2018,38.8,1.5032298357534473
LAO,Lao PDR,2012,36.0,5.792375228938744
LVA,Latvia,2018,35.1,1.490457444642072
LVA,Latvia,2017,35.6,2.7494081711573046
LVA,Latvia,2016,34.3,3.17618820581963
LVA,Latvia,2015,34.2,2.3051863273632742
LVA,Latvia,2014,35.1,3.790469514163488
LVA,Latvia,2013,35.5,4.127115052323739
LVA,Latvia,2012,35.2,3.74108454894223
LVA,Latvia,2011,35.8,4.606112726783456
LVA,Latvia,2010,35.0,4.893391444823715
LBN,Lebanon,2011,31.8,-2.062972703564362
LSO,Lesotho,2017,44.9,-2.4191311047641717
LBR,Liberia,2016,35.3,-1.3762998025936972
LBR,Liberia,2014,33.2,-2.0612812136071534
LTU,Lithuania,2018,35.7,2.495968934883458
LTU,Lithuania,2017,37.3,3.7864677500178594
LTU,Lithuania,2016,38.4,4.639478366759339
LTU,Lithuania,2015,37.4,4.120932370432294
LTU,Lithuania,2014,37.7,4.8585079682023835
LTU,Lithuania,2013,35.3,4.786701833449959
LTU,Lithuania,2012,35.1,4.633933770890573
LTU,Lithuania,2011,32.5,4.6049837737504475
LTU,Lithuania,2010,33.6,5.579943449018112
LUX,Luxembourg,2018,35.4,-0.21157061324043544
LUX,Luxembourg,2017,34.5,0.10292424260052321
LUX,Luxembourg,2016,31.7,0.49408277448739923
LUX,Luxembourg,2015,32.9,-0.021644728652852763
LUX,Luxembourg,2014,31.2,0.3858177733907584
LUX,Luxembourg,2013,32.0,0.28189599446806457
LUX,Luxembourg,2012,34.3,0.5107732810610802
LUX,Luxembourg,2011,32.1,0.5815352795658749
LUX,Luxembourg,2010,30.5,-0.201785142831509
MDG,Madagascar,2012,42.6,0.6360245804438702
MDG,Madagascar,2010,42.4,-0.09154486051938382
MWI,Malawi,2016,44.7,1.165660005380564
MWI,Malawi,2010,45.5,1.2213882116847397
MYS,Malaysia,2018,41.2,1.6364883162263282
MYS,Malaysia,2015,41.1,1.1412190209647182
MYS,Malaysia,2013,41.3,3.429238430644528
MYS,Malaysia,2011,43.6,3.3444614014791
MDV,Maldives,2016,31.3,2.2794600616228466
MLI,Mali,2018,36.0,0.017582465686550287
MLT,Malta,2018,28.7,2.697649757721212
MLT,Malta,2017,29.2,2.1305643911030465
MLT,Malta,2016,29.1,4.09756066261932
